Bombeiro,Incêncio,Socorro,Telefone
Bruna____,0,1,2
Caio_____,0,0,1
Natália__,1,0,0
Renata___,1,0,0
Felipe___,0,1,0
Bianca___,0,1,0
Vanessa__,0,1,1
Vitor____,1,1,0
Aline____,0,0,1
Ricardo__,0,2,0
Lucas____,1,1,0
Pedro____,1,0,0
Rafael___,1,0,0
Fernanda_,1,0,1
André____,1,1,0
Larissa__,0,0,1
Patrícia_,1,0,0
Ana______,0,1,0
Adriana__,0,1,0
Isabela__,0,0,1
Rafaela__,0,0,1
Juliane__,0,1,0
Maria____,0,1,0
Gabriel__,1,0,0
Carla____,2,1,1
Mateus___,1,0,0
Alexandre,0,0,1
Leonardo_,0,0,1
Henrique_,1,0,0
Eliane___,0,0,2
