Bombeiro,Incêncio,Socorro,Telefone
Beatriz__,0,0,2
Gustavo__,0,0,1
Vitor____,1,0,0
Thiago___,0,0,1
Eduardo__,0,1,0
Diego____,2,1,0
Juliane__,0,1,0
Camila___,1,0,0
Caio_____,1,1,1
Paula____,1,0,0
Marcelo__,0,0,2
Bianca___,0,1,1
Rodrigo__,1,0,0
Igor_____,0,1,0
Maria____,0,1,1
Natália__,1,0,1
Rafaela__,0,0,1
Leonardo_,1,0,1
Mateus___,0,1,0
Aline____,2,0,0
Lucas____,0,1,0
Sabrina__,1,1,0
Carlos___,0,0,1
Ana______,0,1,0
Mariana__,1,0,0
Isabela__,1,0,0
Henrique_,0,1,0
Felipe___,0,1,0
Tatiane__,0,0,1
Bruno____,0,1,0
