Bombeiro,Incêncio,Socorro,Telefone
Gustavo__,0,0,1
Fernanda_,0,0,1
Eduardo__,0,0,1
Lucas____,1,1,0
Leonardo_,1,1,1
Diego____,1,2,0
Rafael___,1,0,0
Vitor____,0,0,1
Natália__,3,0,0
Bianca___,0,1,0
Larissa__,1,0,0
Thiago___,1,1,0
Mateus___,1,0,0
Juliana__,0,1,0
Henrique_,0,0,1
Maria____,0,1,0
Beatriz__,1,1,1
Sabrina__,1,0,0
Tatiane__,0,1,0
Daniel___,0,1,1
Gabriela_,0,1,0
Paula____,0,0,1
Adriana__,0,0,1
Igor_____,0,0,1
Bruno____,0,1,0
Carlos___,0,1,0
Patrícia_,1,0,0
Marcelo__,0,0,1
João_____,1,0,0
Felipe___,0,0,1
Fernando_,0,0,1
