Bombeiro,Incêncio,Socorro,Telefone
Marcelo__,0,1,0
Bruna____,0,0,1
Rafael___,0,1,1
Paula____,2,0,0
Eliane___,1,0,0
Tatiane__,0,1,0
Sabrina__,0,1,0
Felipe___,1,0,0
Daniel___,0,1,1
Fernanda_,0,1,1
Pedro____,0,1,0
Isabela__,0,1,1
Rodrigo__,0,1,0
João_____,0,0,1
Mateus___,0,0,1
Gustavo__,0,0,1
Mariana__,0,0,1
Vanessa__,1,0,0
Juliane__,0,1,0
Gabriel__,1,0,0
Thiago___,1,0,0
Alexandre,1,0,0
Bianca___,0,0,1
Caio_____,0,1,0
André____,1,1,1
Lucas____,0,0,1
Igor_____,1,0,0
Diego____,0,0,1
Aline____,1,0,0
Adriana__,0,1,0
Eduardo__,1,0,0
Leonardo_,2,1,1
